,Abundance,Substructure,SMILES,SMARTS
0,50000000,Ether,COC,[#6v4]-[#8v2]-[#6v4]
1,50000000,Amine_(tertiary),CN(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4]
2,50000000,Amine_(secondary),CNC,[#6v4]-[#7v3](-[#1])-[#6v4]
3,30000000,N-Carboxamide,CNC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
4,30000000,Alcohol,CO,[#6v4]-[#8v2]-[#1]
5,20000000,Fluoro,CF,[#6v4]-[#9v1]
6,20000000,"N,N-Carboxamide",CC(=O)N(C)C,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
7,20000000,Chloro,CCl,[#6v4]-[#17v1]
8,10000000,Amine_(primary),CN,[#6v4]-[#7v3](-[#1])-[#1]
9,10000000,Carboxylate_ester,COC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#6v4]
10,10000000,Carboxylic_acid,CC(=O)O,[#6v4]-[#6v4](=[#8v2])-[#8v2]-[#1]
11,10000000,Sulfide,CSC,[#6v4]-[#16v2]-[#6v4]
12,8333333,Ketone,CC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#6v4]
13,7692308,Bromo,CBr,[#6v4]-[#35v1]
14,5263158,Carbonitrile,CC#N,[#6v4]-[#6v4]#[#7v3]
15,4000000,Nitro,C[N+](=O)[O-],[#6v4]-[#7v4+](=[#8v2])-[#8v1-]
16,3846154,"N,N-Sulfonamide",CN(C)S(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#6v4])-[#6v4]
17,3333333,N-Sulfonamide,CNS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#7v3](-[#1])-[#6v4]
18,2500000,Carboxamide,CC(N)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#1]
19,2380952,Sulfone,CS(C)(=O)=O,[#6v4]-[#16v6](=[#8v2])(=[#8v2])-[#6v4]
20,2325581,"N,N,N'-Urea",CNC(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
21,2272727,Azide,CN=[N+]=[N-],[#6v4]-[#7v3]=[#7v4+]=[#7v2-]
22,1923077,"N,N'-Urea",CNC(=O)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#8v2])-[#7v3](-[#1])-[#6v4]
23,1851852,N-Carbamate_ester,CNC(=O)OC,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#1]
24,1754386,"N,N-Carbamate_ester",COC(=O)N(C)C,[#6v4]-[#8v2]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
25,1351351,"1,2,3-Guanidine",CN=C(NC)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#1])-[#6v4]
26,1298701,Acetal,COC(C)OC,[#6v4]-[#6v4](-[#8v2]-[#6v4])(-[#8v2]-[#6v4])-[#1]
27,1250000,N-Imide,CC(=O)N(C)C(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#6v4]
28,1250000,Iodo,CI,[#6v4]-[#53v1]
29,1149425,Carbaldehyde,CC=O,[#6v4]-[#6v4](=[#8v2])-[#1]
30,967032,N-Hydrazone_(carbaldehyde),CC=NNC,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#1])-[#6v4])-[#1]
31,862967,N-Ketimine,CN=C(C)C,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#6v4]
32,843588,"N,N,N',N'-Urea",CN(C)C(=O)N(C)C,[#6v4]-[#7v3](-[#6v4])-[#6v4](=[#8v2])-[#7v3](-[#6v4])-[#6v4]
33,729598,N-Aldimine,CC=NC,[#6v4]-[#6v4](=[#7v3]-[#6v4])-[#1]
34,707200,"N,N,N'-Carbamimidothioate_ester",CN=C(SC)N(C)C,[#6v4]-[#16v2]-[#6v4](=[#7v3]-[#6v4])-[#7v3](-[#6v4])-[#6v4]
35,705148,Carbohydrazide_(N'-ethylidene),CC=NNC(C)=O,[#6v4]-[#6v4](=[#8v2])-[#7v3](-[#1])-[#7v3]=[#6v4](-[#1])-[#6v4]
36,670424,Ketal,COC(C)(C)OC,[#6v4]-[#6v4](-[#8v2]-[#6v4])(-[#8v2]-[#6v4])-[#6v4]
37,651662,"1,2-Hydrazine",CNNC,[#6v4]-[#7v3](-[#1])-[#7v3](-[#1])-[#6v4]
38,651421,1-Hydrazine,CNN,[#6v4]-[#7v3](-[#1])-[#7v3](-[#1])-[#1]
39,635353,"N,N,N-Aminium_cation",C[NH+](C)C,[#6v4]-[#7v4+](-[#6v4])(-[#6v4])-[#1]
40,604239,"N,N'-Carboximidamide",CN=C(C)NC,[#6v4]-[#7v3](-[#1])-[#6v4](=[#7v3]-[#6v4])-[#6v4]
41,581367,Carboxylate_anion,CC(=O)[O-],[#6v4]-[#6v4](=[#8v2])-[#8v1-]
42,574121,"N,N-Hydrazone_(ketone)",CC(C)=NN(C)C,[#6v4]-[#6v4](=[#7v3]-[#7v3](-[#6v4])-[#6v4])-[#6v4]
